cc_num,merchant,category,amt,gender,state,zip,lat,long,city_pop,job,unix_time,merch_lat,merch_long,trans_year,trans_month,trans_day,trans_hour,trans_minute,trans_second,__target__
2291163933867244,237,10,2.86,1,37,29209,33.9659,-80.9355,333497,203,1371816865,33.986391,-81.200714,2020,6,21,12,14,25,0
3591919803438423,167,9,60.05,1,7,32780,28.5697,-80.8191,54767,298,1371816915,28.812398,-80.883061,2020,6,21,12,15,15,0
4671727014157745,369,10,17.46,1,13,46702,40.8618,-85.6067,2304,285,1386877359,40.290259000000006,-85.308421,2020,12,12,19,42,39,0
36078114201167,249,10,104.54,1,15,41836,37.2692,-82.9161,798,123,1386877395,37.031216,-83.745761,2020,12,12,19,43,15,0
3554818239968984,464,7,49.53,1,22,63388,38.8874,-91.7689,710,146,1386877579,39.317956,-91.5844,2020,12,12,19,46,19,0
213174467670432,454,1,58.62,1,18,21913,39.4015,-75.8654,663,250,1386877592,39.708919,-75.966881,2020,12,12,19,46,32,0
376445266762684,346,12,6.65,0,27,69165,41.1558,-101.136,1789,172,1386877631,41.424163,-100.374011,2020,12,12,19,47,11,0
4512828414983802000,419,1,2.31,0,36,15484,39.8936,-79.7856,328,338,1386877701,39.426953000000005,-79.925188,2020,12,12,19,48,21,0
6506116513503136,75,1,32.69,0,40,75703,32.2768,-95.3031,144160,306,1386877719,32.91325,-94.581061,2020,12,12,19,48,39,0
4855488158131690000,340,10,69.14,1,43,5654,44.1554,-72.4847,970,9,1386877720,43.22174,-72.280462,2020,12,12,19,48,40,0
4952583804639909,105,5,48.08,0,33,44483,41.2639,-80.8164,75903,193,1386877814,40.975567,-81.715867,2020,12,12,19,50,14,0
180064817343047,422,6,45.31,0,15,40170,37.9048,-86.524,344,56,1386877818,37.464001,-86.300322,2020,12,12,19,50,18,0
3560797065840735,334,7,181.82,0,26,58569,46.1838,-101.2589,77,127,1386877834,45.308513,-101.257756,2020,12,12,19,50,34,0
4613314721966,126,1,54.88,1,25,28611,35.9946,-81.7266,885,301,1386877867,35.943979,-81.434605,2020,12,12,19,51,7,0
342952484382519,173,1,20.03,0,5,6024,42.0158,-73.2913,647,85,1386877888,41.870295,-72.363067,2020,12,12,19,51,28,0
4229733778084049,362,11,1.58,1,15,42701,37.6848,-85.8784,48194,311,1386877928,38.365289,-85.509479,2020,12,12,19,52,8,0
3511378610369890,381,12,9.31,1,0,35811,34.7789,-86.5438,190178,322,1386877965,33.783912,-86.638856,2020,12,12,19,52,45,0
4292743669224718000,60,7,58.43,1,18,20634,38.2674,-76.4954,5927,29,1386878017,39.102584,-77.013124,2020,12,12,19,53,37,0
2242542703101232.8,303,8,92.26,1,15,40077,38.4921,-85.4524,564,242,1386878032,37.560058000000005,-85.883876,2020,12,12,19,53,52,0
180067784565096,153,7,94.68,0,45,53153,42.9385,-88.395,2328,20,1386878034,43.48319,-87.395922,2020,12,12,19,53,54,0
5501083170975659,334,7,84.67,1,33,44223,41.1464,-81.5107,47772,118,1386878068,40.701396,-80.773657,2020,12,12,19,54,28,0
3500165543009955,116,6,12.66,1,20,48214,42.3669,-82.9938,673342,151,1386878157,42.302523,-83.892387,2020,12,12,19,55,57,0
213153151785052,275,0,44.4,0,45,54487,45.4963,-89.7273,9594,296,1386878264,45.098267,-89.741451,2020,12,12,19,57,44,0
